infa;infb;infc;infd;infe;inff;infg;infg;infi;infj;infk;infl;infm;infn;info;infp;infq;infr;infs;inft;infu;infv;infw;infx;infy;infz;data1;data2;data3;data4
20240130;102007362;CONSTRNEG;7;19;20240101;2;108.13;REG;;2165.34;48;0;0;0;0;0;21.86;48;0;2127.07;0;0;0;0;0;0;0;19000101;20220928
20240130;103001853;INDNEGOCIO;7;1;20220815;3;0;REG;;229.26;102.43;0;0;18.44;0;0;17;0;0;229.26;102.43;0;0;18.44;0;0;17;20220718;20220718
20240130;103001853;INDNEGOCIO;7;2;20220915;3;0;REG;;219.3;110.87;0;0;19.96;0;0;17;0;0;219.3;110.87;0;0;19.96;0;0;17;20220718;20220718
20240130;103001853;INDNEGOCIO;7;3;20221015;3;0;REG;;226.4;104.86;0;0;18.87;0;0;17;0;0;226.4;104.86;0;0;18.87;0;0;17;20220718;20220718
20240130;103001853;INDNEGOCIO;7;4;20221115;3;0;REG;;225.27;105.81;0;0;19.05;0;0;31.4;0;0;225.27;105.81;0;0;19.05;0;0;31.4;20231110;20231110
20240130;103001853;INDNEGOCIO;7;5;20221215;3;0;REG;;232.24;99.91;0;0;17.98;0;0;43.4;0;0;232.24;99.91;0;0;17.98;0;0;43.4;20231110;20231110
20240130;103001853;INDNEGOCIO;7;6;20230116;3;0;REG;;227.55;103.88;0;0;18.7;0;0;40.84;0;0;227.55;103.88;0;0;18.7;0;0;40.84;20231110;20231110
20240130;103001853;INDNEGOCIO;7;7;20230215;3;0;REG;;238.2;94.86;0;0;17.07;0;0;41.08;0;0;238.2;94.86;0;0;17.07;0;0;41.08;20231110;20231110
20240130;103001853;INDNEGOCIO;7;8;20230315;3;0;REG;;248.58;86.06;0;0;15.49;0;0;38.61;0;0;248.58;86.06;0;0;15.49;0;0;38.61;20231110;20231110
20240130;103001853;INDNEGOCIO;7;9;20230415;3;0;REG;;240.97;92.51;0;0;16.65;0;0;35.78;0;0;240.97;92.51;0;0;16.65;0;0;35.78;20231110;20231110
20240130;103001853;INDNEGOCIO;7;10;20230515;3;0;REG;;247.62;86.87;0;0;15.64;0;0;33.12;0;0;247.62;86.87;0;0;15.64;0;0;33.12;20231110;20231110
20240130;103001853;INDNEGOCIO;7;11;20230615;3;0;REG;;247.51;86.97;0;0;15.65;0;0;30.33;0;0;247.51;86.97;0;0;15.65;0;0;30.33;20231110;20231110
20240130;103001853;INDNEGOCIO;7;12;20230715;3;0;REG;;254.04;81.43;0;0;14.66;0;0;27.67;0;0;254.04;81.43;0;0;14.66;0;0;27.67;20231110;20231110
20240130;103001853;INDNEGOCIO;7;13;20230815;3;0;REG;;254.22;81.28;0;0;14.63;0;0;24.88;0;0;254.22;81.28;0;0;14.63;0;0;24.88;20231110;20231110
20240130;103001853;INDNEGOCIO;7;14;20230915;3;0;REG;;257.63;78.39;0;0;14.11;0;0;22.06;0;0;257.63;78.39;0;0;14.11;0;0;22.06;20231110;20231110
